champion,games,winrate,avg_gd15,avg_dpm,avg_csd15,avg_cspm,avg_damageshare,avg_kills,avg_deaths,avg_assists,kda,wr_short_games,wr_long_games,scaling_score,early_score,carry_score,utility_score
Xin Zhao,97,0.4639175257731959,-57.25773195876289,502.5791010309279,0.38144329896907214,7.079394845360824,0.17540141855670105,2.9896907216494846,3.443298969072165,7.22680412371134,2.9670658682634725,0.5757575757575758,0.4375,-0.1382575757575758,-57.25773195876289,0.17540141855670105,2.4172413793103447
Jarvan IV,94,0.5425531914893617,-36.90425531914894,437.8262234042553,-0.3191489361702128,6.7640478723404245,0.15630817978723402,2.606382978723404,3.1914893617021276,10.393617021276595,4.073333333333333,0.5,0.5,0.0,-36.90425531914894,0.15630817978723402,3.9877551020408166
Ryze,84,0.5357142857142857,-71.78571428571429,664.6558023809523,-0.6547619047619048,9.774246428571429,0.23556632142857142,3.7976190476190474,2.3214285714285716,5.7023809523809526,4.092307692307692,0.5555555555555556,0.47368421052631576,-0.08187134502923982,-71.78571428571429,0.23556632142857142,1.5015673981191224
Yunara,82,0.47560975609756095,-178.97560975609755,778.6114963414634,-6.487804878048781,10.088936585365852,0.27298256097560974,4.987804878048781,3.0609756097560976,5.560975609756097,3.446215139442231,0.5333333333333333,0.4782608695652174,-0.05507246376811592,-178.97560975609755,0.27298256097560974,1.1149144254278727
Pantheon,79,0.5063291139240507,-19.569620253164558,530.5787569620253,-3.240506329113924,6.499288607594935,0.18240073544303798,4.468354430379747,3.6202531645569622,6.151898734177215,2.9335664335664333,0.5806451612903226,0.35,-0.23064516129032264,-19.569620253164558,0.18240073544303798,1.3767705382436262
Ezreal,79,0.3924050632911392,-158.81012658227849,847.3599746835445,2.518987341772152,10.130839240506328,0.30455792405063287,4.139240506329114,2.4936708860759493,4.481012658227848,3.4568527918781724,0.43333333333333335,0.45454545454545453,0.021212121212121182,-158.81012658227849,0.30455792405063287,1.0825688073394495
Gnar,70,0.6285714285714286,122.88571428571429,698.5277757142858,2.5714285714285716,8.901255714285714,0.24215651428571425,2.2,2.7,5.371428571428571,2.8042328042328037,0.6153846153846154,0.6842105263157895,0.06882591093117407,122.88571428571429,0.24215651428571425,2.441558441558441
Renekton,66,0.45454545454545453,113.27272727272727,572.884553030303,3.272727272727273,8.794483333333332,0.210005,2.121212121212121,2.712121212121212,4.515151515151516,2.4469273743016764,0.5,0.48,-0.020000000000000018,113.27272727272727,0.210005,2.128571428571429
Neeko,64,0.53125,-32.3125,368.1058921875,-0.25,1.165953125,0.127537446875,1.078125,4.03125,8.78125,2.445736434108527,0.5294117647058824,0.55,0.020588235294117685,-32.3125,0.127537446875,8.144927536231885
Azir,63,0.4603174603174603,-213.6031746031746,712.869922222222,-1.2857142857142858,9.570085714285716,0.24742871428571428,3.4126984126984126,3.3174603174603177,5.650793650793651,2.7320574162679425,0.3333333333333333,0.5833333333333334,0.25000000000000006,-213.6031746031746,0.24742871428571428,1.6558139534883722
Ambessa,63,0.38095238095238093,-30.53968253968254,621.8531158730161,0.30158730158730157,8.422734920634918,0.2227445714285714,2.6507936507936507,2.984126984126984,5.079365079365079,2.590425531914893,0.4074074074074074,0.4,-0.007407407407407363,-30.53968253968254,0.2227445714285714,1.9161676646706587
Vi,63,0.5079365079365079,-59.34920634920635,372.63368888888886,2.9206349206349205,7.104628571428571,0.12913694285714283,2.888888888888889,3.634920634920635,7.174603174603175,2.7685589519650655,0.5,0.47619047619047616,-0.023809523809523836,-59.34920634920635,0.12913694285714283,2.4835164835164836
Aurora,60,0.4,96.43333333333334,785.2186450000002,2.5833333333333335,8.751836666666668,0.27606576666666666,4.333333333333333,2.7333333333333334,5.1,3.451219512195122,0.3333333333333333,0.375,0.041666666666666685,96.43333333333334,0.27606576666666666,1.176923076923077
Jayce,60,0.48333333333333334,384.73333333333335,766.715575,7.933333333333334,8.799416666666668,0.2597214666666666,3.1166666666666667,3.5833333333333335,5.083333333333333,2.2883720930232556,0.6,0.5333333333333333,-0.06666666666666665,384.73333333333335,0.2597214666666666,1.6310160427807485
Lulu,60,0.43333333333333335,-38.56666666666667,217.85714999999996,1.5333333333333334,0.997715,0.07936965166666665,0.7,2.5833333333333335,10.5,4.3354838709677415,0.391304347826087,0.4666666666666667,0.0753623188405797,-38.56666666666667,0.07936965166666665,15.000000000000002
Sion,58,0.43103448275862066,-252.08620689655172,585.8041344827587,-6.603448275862069,8.210020689655172,0.20490910344827584,1.5,2.3793103448275863,6.603448275862069,3.4057971014492754,0.5263157894736842,0.3684210526315789,-0.15789473684210525,-252.08620689655172,0.20490910344827584,4.402298850574713
Bard,57,0.5789473684210527,-65.73684210526316,250.1855105263158,-1.8771929824561404,1.1040736842105263,0.09015182456140351,1.0701754385964912,3.1052631578947367,10.807017543859649,3.824858757062147,0.6,0.5555555555555556,-0.0444444444444444,-65.73684210526316,0.09015182456140351,10.098360655737705
Jhin,57,0.5614035087719298,189.73684210526315,717.4444438596491,2.017543859649123,9.918371929824563,0.2423427192982456,4.666666666666667,2.192982456140351,6.245614035087719,4.976,0.4117647058823529,0.7058823529411765,0.2941176470588236,189.73684210526315,0.2423427192982456,1.338345864661654
K'Sante,57,0.42105263157894735,-167.68421052631578,487.23497719298246,-2.491228070175439,8.291991228070176,0.17303980701754385,2.087719298245614,2.5964912280701755,5.052631578947368,2.7499999999999996,0.3888888888888889,0.42857142857142855,0.03968253968253965,-167.68421052631578,0.17303980701754385,2.420168067226891
Ashe,52,0.5769230769230769,220.05769230769232,694.6859923076923,4.5,10.072419230769231,0.24951544230769235,4.25,2.6538461538461537,6.1923076923076925,3.9347826086956528,0.6086956521739131,0.5,-0.10869565217391308,220.05769230769232,0.24951544230769235,1.4570135746606336
