gameid,date,game,teamname,side,result,gamelength,ckpm,golddiffat15,xpdiffat15,csdiffat15,firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,kills,deaths,assists,wpm,wcpm,vspm,dragons,elementaldrakes,elders
LOLTMNT03_337058,2026-01-14 08:13:43,1,DN SOOPers,Blue,1,1888,0.8581,514.0,1888.0,57.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,8,42,3.7818,2.1928,11.1547,4.0,4.0,0.0
LOLTMNT03_337058,2026-01-14 08:13:43,1,KT Rolster,Red,0,1888,0.8581,-514.0,-1888.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,19,20,3.8771,1.6843,9.9788,0.0,0.0,0.0
LOLTMNT03_337069,2026-01-14 09:06:16,2,DN SOOPers,Blue,0,1650,0.5091,-1720.0,-456.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,14,0,3.5273,1.6,9.3091,0.0,0.0,0.0
LOLTMNT03_337069,2026-01-14 09:06:16,2,KT Rolster,Red,1,1650,0.5091,1720.0,456.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,14,0,36,3.4909,1.6,9.4909,4.0,4.0,0.0
LOLTMNT03_337081,2026-01-14 09:54:54,3,KT Rolster,Blue,1,2197,0.8466,562.0,-717.0,28.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,17,14,41,3.4957,2.4306,11.5521,4.0,4.0,0.0
LOLTMNT03_337081,2026-01-14 09:54:54,3,DN SOOPers,Red,0,2197,0.8466,-562.0,717.0,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,17,36,4.3696,1.5567,10.1047,1.0,1.0,0.0
LOLTMNT03_337109,2026-01-14 11:22:18,1,Dplus Kia,Blue,1,1699,1.0241,4255.0,3108.0,63.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,7,47,3.5668,1.6598,9.8175,3.0,3.0,0.0
LOLTMNT03_337109,2026-01-14 11:22:18,1,HANJIN BRION,Red,0,1699,1.0241,-4255.0,-3108.0,-63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,22,17,3.7434,1.4126,8.4756,0.0,0.0,0.0
LOLTMNT03_336084,2026-01-14 12:11:18,2,Dplus Kia,Blue,1,1530,1.3333,5438.0,5109.0,69.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,7,52,3.5686,1.6078,10.1961,2.0,2.0,0.0
LOLTMNT03_336084,2026-01-14 12:11:18,2,HANJIN BRION,Red,0,1530,1.3333,-5438.0,-5109.0,-69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,27,13,3.6078,1.1373,9.0196,0.0,0.0,0.0
LOLTMNT03_336244,2026-01-15 08:05:23,1,Kiwoom DRX,Blue,0,1783,0.774,369.0,463.0,13.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7,16,14,3.2978,1.2787,9.1195,2.0,2.0,0.0
LOLTMNT03_336244,2026-01-15 08:05:23,1,Gen.G,Red,1,1783,0.774,-369.0,-463.0,-13.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,16,7,35,3.4661,1.7835,10.4992,2.0,2.0,0.0
LOLTMNT03_336246,2026-01-15 08:56:47,2,Gen.G,Blue,1,1469,1.5929,5562.0,3494.0,73.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34,5,54,3.7985,1.4704,10.4152,3.0,3.0,0.0
LOLTMNT03_336246,2026-01-15 08:56:47,2,Kiwoom DRX,Red,0,1469,1.5929,-5562.0,-3494.0,-73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,34,10,3.1042,0.9394,7.4745,0.0,0.0,0.0
LOLTMNT03_337298,2026-01-15 10:15:24,1,Nongshim RedForce,Blue,0,2071,1.1299,78.0,1016.0,29.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13,26,32,3.9981,1.5934,10.3428,2.0,2.0,0.0
LOLTMNT03_337298,2026-01-15 10:15:24,1,BNK FEARX,Red,1,2071,1.1299,-78.0,-1016.0,-29.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,26,13,67,3.6794,1.6514,10.14,3.0,3.0,0.0
LOLTMNT03_337304,2026-01-15 11:14:42,2,BNK FEARX,Blue,1,1732,1.0393,1243.0,761.0,28.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19,11,33,4.157,1.5935,10.8776,2.0,2.0,0.0
LOLTMNT03_337304,2026-01-15 11:14:42,2,Nongshim RedForce,Red,0,1732,1.0393,-1243.0,-761.0,-28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11,19,20,3.6374,1.7321,9.6651,1.0,1.0,0.0
LOLTMNT03_336495,2026-01-16 08:05:40,1,Dplus Kia,Blue,1,1505,0.7973,559.0,1242.0,34.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,17,3,47,2.99,1.5947,9.1694,2.0,2.0,0.0
LOLTMNT03_336495,2026-01-16 08:05:40,1,DN SOOPers,Red,0,1505,0.7973,-559.0,-1242.0,-34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,17,5,3.1495,1.0365,7.7342,2.0,2.0,0.0
LOLTMNT03_336502,2026-01-16 08:53:11,2,Dplus Kia,Blue,1,1536,0.8203,1003.0,1658.0,85.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,15,6,34,3.125,1.5625,8.8672,1.0,1.0,0.0
LOLTMNT03_336502,2026-01-16 08:53:11,2,DN SOOPers,Red,0,1536,0.8203,-1003.0,-1658.0,-85.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,15,15,3.3203,1.4844,8.7109,1.0,1.0,0.0
LOLTMNT03_337590,2026-01-16 10:08:16,1,T1,Blue,0,2205,0.7891,1320.0,1448.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,13,16,24,3.7007,1.6327,9.7687,1.0,1.0,0.0
