"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BNK FEARX",31,11,20,30.8,412,511,0.81,0.96,-0.55,"-4.4%",42.2,-6.7,-772,"39%","55%","42%",24.2,"58%","42%","48%","46%","50%","35%","45%","49.5%","48.0%",3.67,1.25,1.55
"DN SOOPers",30,2,28,29.3,250,530,0.47,0.89,-1.9,"-11.3%",31,-24.3,-1900,"40%","10%","3%",13.3,"20%","46%","40%","29%","0%","23%","25%","49.0%","44.7%",3.5,1.16,1.47
"Dplus Kia",34,18,16,32.3,442,432,1.02,0.8,0.38,"2.5%",51.6,1.3,527,"47%","62%","62%",28.9,"58%","41%","47%","44%","0%","50%","48%","50.2%","50.6%",3.75,1.23,1.68
"Gen.G",34,24,10,31.3,582,398,1.46,0.92,0.83,"7.2%",58.7,11.9,459,"56%","50%","62%",31.7,"56%","52%","62%","64%","0%","71%","67%","51.1%","53.3%",3.71,1.23,1.78
"HANJIN BRION",34,16,18,34,505,448,1.13,0.82,0.06,"0.8%",48.9,-1.9,-95,"59%","44%","35%",28.3,"52%","49%","47%","49%","40%","53%","52%","49.4%","52.0%",3.85,1.21,1.61
"Hanwha Life Esports",35,27,8,30.2,637,466,1.37,1.04,1.1,"8.3%",61.6,15.5,1218,"54%","71%","74%",33,"67%","72%","34%","55%","0%","74%","76%","50.1%","53.8%",3.6,1.21,1.72
"Kiwoom DRX",38,14,24,31.3,523,640,0.82,0.98,-0.8,"-4.9%",40.1,-3.3,-1040,"37%","32%","42%",22.7,"43%","44%","58%","55%",,"39%","45%","49.6%","48.6%",3.35,1.01,1.53
"KT Rolster",37,24,13,31.9,593,485,1.22,0.91,0.15,"0.3%",55.2,9.7,466,"51%","54%","59%",29.5,"38%","69%","57%","52%","50%","49%","49%","50.2%","49.2%",3.78,1.3,1.71
"Nongshim RedForce",33,10,23,31.8,460,597,0.77,1.01,-0.18,"-2.6%",47.9,-17.6,-43,"58%","55%","45%",24.1,"48%","56%","55%","47%","100%","27%","37%","50.1%","47.6%",3.4,1.28,1.6
"T1",34,24,10,32,575,487,1.18,0.97,0.58,"2.5%",60.2,10.4,933,"59%","65%","68%",29.6,"61%","26%","50%","53%","100%","41%","49%","50.6%","51.6%",3.84,1.21,1.58
