"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BNK FEARX",33,18,15,31.6,528,508,1.04,0.99,0.12,"-1.7%",52.9,1.7,137,"52%","61%","58%",28.8,"56%","41%","55%","51%","0%","48%","49%","49.7%","48.6%",3.92,1.25,1.6
"DN SOOPers",33,15,18,33.1,482,505,0.95,0.9,-0.25,"-1.9%",47.8,-2.4,-170,"42%","48%","36%",23.7,"52%","40%","55%","53%","100%","36%","36%","49.8%","49.3%",3.76,1.25,1.67
"Dplus Kia",35,18,17,32.5,529,543,0.97,0.94,-0.04,"0.2%",51.7,-0.3,351,"54%","49%","49%",26.6,"60%","48%","34%","45%","100%","43%","40%","50.6%","50.6%",3.48,1.17,1.55
"Gen.G",22,20,2,31.7,431,216,2,0.93,1.59,"11.7%",62.8,28.1,1254,"50%","73%","73%",37.6,"59%","76%","68%","68%","50%","82%","86%","51.2%","55.3%",3.86,1.24,1.8
"HANJIN BRION",19,6,13,33.2,248,317,0.78,0.9,-0.39,"-3.9%",49.4,-17.9,-127,"47%","58%","32%",21.6,"29%","47%","47%","44%",,"37%","43%","49.6%","49.6%",3.99,1.32,1.62
"Hanwha Life Esports",14,5,9,33.4,198,252,0.79,0.96,-0.28,"-1.0%",47.4,-11.7,-209,"64%","21%","43%",24.4,"50%","62%","50%","44%","33%","43%","50%","50.2%","47.8%",3.91,1.42,1.77
"Kiwoom DRX",33,15,18,32.1,523,574,0.91,1.04,-0.57,"-3.5%",41.9,3.6,-913,"48%","36%","48%",23.3,"48%","54%","45%","50%","100%","36%","44%","49.3%","48.4%",3.43,0.95,1.49
"KT Rolster",17,6,11,34.2,202,255,0.79,0.78,-0.18,"-2.1%",45.5,-10.2,-218,"53%","29%","47%",24.6,"50%","61%","41%","43%","20%","47%","50%","49.6%","49.4%",3.55,1.21,1.66
"Nongshim RedForce",21,8,13,32.1,307,373,0.82,1.01,-0.23,"-0.3%",47.3,-9.2,-330,"57%","52%","52%",26.4,"52%","48%","62%","47%","100%","33%","43%","50.2%","48.7%",3.57,1.37,1.71
"T1",23,14,9,33.4,424,337,1.26,0.99,0.43,"4.4%",53.5,7.3,320,"39%","61%","61%",30.4,"30%","24%","48%","51%","50%","70%","68%","50.1%","52.6%",3.73,1.2,1.55
